                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0181,                0.62531,                  1.216,                0.96435,                0.97168,                0.98205,                0.71005,                   1.06,                0.45448,                 1.3197,             0.00022887,             0.00022887,             0.00022887
                     36,                 0.9909,                0.61336,                 1.1997,                0.96752,                0.97082,                0.98239,                0.71309,                 1.0483,                 0.4437,                 1.3096,             0.00022546,             0.00022546,             0.00022546
                     37,                 1.0084,                 0.6109,                  1.212,                0.96284,                0.97843,                0.98162,                0.70983,                 1.0559,                0.44124,                 1.3208,             0.00022204,             0.00022204,             0.00022204
                     38,                 1.0094,                0.60995,                 1.2094,                0.96639,                0.97293,                0.98408,                0.71544,                 1.0551,                0.44627,                 1.3143,             0.00021863,             0.00021863,             0.00021863
                     39,                 1.0072,                0.60114,                 1.2051,                0.97229,                0.96791,                0.98162,                0.71678,                 1.0473,                0.44884,                 1.3168,             0.00021521,             0.00021521,             0.00021521
                     40,                0.99303,                0.59469,                 1.2034,                0.96431,                0.98122,                0.98406,                0.71858,                  1.043,                0.43508,                 1.3148,              0.0002118,              0.0002118,              0.0002118
                     41,                0.99801,                0.59715,                 1.2031,                0.97082,                0.97485,                0.98413,                0.71744,                 1.0421,                0.43405,                 1.3107,             0.00020838,             0.00020838,             0.00020838
                     42,                0.98737,                0.58993,                 1.1967,                0.96439,                0.97676,                 0.9835,                0.71832,                 1.0349,                0.44255,                 1.3091,             0.00020496,             0.00020496,             0.00020496
                     43,                0.97549,                0.58635,                 1.1869,                0.95758,                0.97268,                0.98488,                0.71845,                  1.034,                0.44912,                 1.3159,             0.00020155,             0.00020155,             0.00020155
                     44,                0.97895,                 0.5872,                 1.1888,                0.95548,                0.97096,                0.97963,                0.72287,                 1.0119,                0.43834,                 1.2933,             0.00019813,             0.00019813,             0.00019813
                     45,                0.98189,                0.57802,                 1.1929,                 0.9654,                0.97371,                0.98509,                0.71636,                 1.0483,                0.43716,                  1.317,             0.00019472,             0.00019472,             0.00019472
                     46,                 0.9831,                 0.5785,                 1.2009,                0.96487,                0.97627,                0.98363,                0.72132,                   1.03,                0.42556,                  1.306,              0.0001913,              0.0001913,              0.0001913
                     47,                0.97416,                0.56988,                 1.1935,                0.97385,                0.96282,                0.98478,                0.72304,                 1.0336,                0.43027,                 1.3012,             0.00018789,             0.00018789,             0.00018789
                     48,                0.96402,                0.57449,                 1.1903,                 0.9609,                0.97755,                0.98441,                0.71672,                  1.044,                0.43971,                 1.3175,             0.00018447,             0.00018447,             0.00018447
                     49,                0.97075,                 0.5739,                 1.1909,                0.96862,                 0.9786,                0.98453,                0.72177,                 1.0431,                0.42379,                  1.307,             0.00018106,             0.00018106,             0.00018106
                     50,                0.95921,                0.55657,                 1.1877,                0.97146,                0.96908,                0.98475,                0.72699,                 1.0258,                0.42606,                 1.3014,             0.00017764,             0.00017764,             0.00017764
                     51,                0.94987,                0.55305,                 1.1841,                0.96754,                 0.9772,                0.98442,                0.72276,                 1.0283,                 0.4208,                 1.2952,             0.00017422,             0.00017422,             0.00017422
                     52,                0.94821,                0.55037,                 1.1743,                0.97059,                0.97826,                0.98446,                0.72283,                 1.0275,                0.41604,                 1.2949,             0.00017081,             0.00017081,             0.00017081
                     53,                0.94211,                0.55104,                 1.1739,                 0.9672,                 0.9757,                0.98665,                 0.7268,                 1.0336,                 0.4219,                 1.3095,             0.00016739,             0.00016739,             0.00016739
                     54,                 0.9366,                0.55446,                 1.1737,                0.96376,                0.97438,                0.98385,                0.72588,                 1.0205,                0.41611,                 1.2992,             0.00016398,             0.00016398,             0.00016398
                     55,                0.93702,                0.54501,                 1.1777,                0.97185,                0.97436,                0.98574,                0.72767,                 1.0173,                0.41743,                 1.2967,             0.00016056,             0.00016056,             0.00016056
                     56,                0.93686,                0.54455,                 1.1681,                0.96333,                0.97611,                0.98615,                0.72684,                 1.0224,                0.41651,                 1.2935,             0.00015715,             0.00015715,             0.00015715
                     57,                0.91841,                0.52534,                 1.1575,                0.96723,                0.97608,                0.98579,                0.72886,                 1.0211,                0.41639,                 1.2969,             0.00015373,             0.00015373,             0.00015373
                     58,                 0.9289,                0.52233,                 1.1652,                0.97306,                0.97842,                0.98416,                0.72556,                   1.02,                0.40995,                 1.3016,             0.00015032,             0.00015032,             0.00015032
                     59,                0.92583,                0.53712,                 1.1641,                0.96212,                0.97942,                0.98385,                 0.7223,                 1.0345,                0.42072,                 1.3092,              0.0001469,              0.0001469,              0.0001469
                     60,                 0.9204,                0.53952,                 1.1644,                 0.9665,                0.98007,                0.98628,                0.72653,                 1.0254,                0.41374,                  1.302,             0.00014349,             0.00014349,             0.00014349
                     61,                0.91724,                0.51711,                 1.1647,                0.96912,                 0.9744,                 0.9851,                0.72883,                  1.025,                0.40956,                  1.302,             0.00014007,             0.00014007,             0.00014007
                     62,                0.91081,                0.51916,                 1.1592,                0.97197,                0.97729,                0.98524,                0.72521,                 1.0233,                0.41115,                 1.3067,             0.00013665,             0.00013665,             0.00013665
                     63,                0.90545,                0.52443,                 1.1614,                0.96523,                0.97976,                0.98451,                0.72551,                   1.03,                0.40901,                  1.314,             0.00013324,             0.00013324,             0.00013324
                     64,                0.90068,                0.50764,                 1.1571,                0.97032,                0.97747,                0.98549,                0.73049,                 1.0237,                0.40786,                 1.3047,             0.00012982,             0.00012982,             0.00012982
                     65,                0.90512,                0.50455,                 1.1507,                0.96771,                0.97393,                 0.9854,                0.72763,                 1.0283,                0.40519,                 1.3027,             0.00012641,             0.00012641,             0.00012641
                     66,                0.89655,                0.50321,                 1.1424,                0.96388,                0.97584,                0.98596,                0.72832,                 1.0229,                0.41195,                 1.3106,             0.00012299,             0.00012299,             0.00012299
                     67,                0.90012,                 0.5062,                 1.1446,                 0.9683,                0.97404,                0.98412,                0.72935,                 1.0192,                0.40723,                 1.2999,             0.00011958,             0.00011958,             0.00011958
                     68,                0.89516,                0.50031,                 1.1489,                0.96943,                0.97585,                0.98562,                0.72858,                 1.0324,                0.40143,                 1.3179,             0.00011616,             0.00011616,             0.00011616
                     69,                0.89184,                0.49705,                 1.1449,                0.96741,                0.97733,                0.98579,                0.72753,                   1.03,                 0.4069,                 1.3129,             0.00011275,             0.00011275,             0.00011275
                     70,                0.88399,                0.48952,                 1.1436,                0.96768,                0.97834,                0.98492,                0.72816,                 1.0286,                0.40655,                 1.3069,             0.00010933,             0.00010933,             0.00010933
                     71,                0.88586,                0.48776,                 1.1389,                0.96421,                0.97687,                 0.9847,                0.72785,                 1.0402,                0.40908,                 1.3249,             0.00010592,             0.00010592,             0.00010592
                     72,                0.87744,                0.48755,                 1.1335,                0.97268,                0.97235,                0.98638,                0.73045,                 1.0308,                0.40332,                 1.3078,              0.0001025,              0.0001025,              0.0001025
                     73,                0.87135,                0.49202,                 1.1335,                 0.9691,                0.97728,                0.98603,                0.73107,                 1.0355,                0.40385,                 1.3165,             9.9084e-05,             9.9084e-05,             9.9084e-05
                     74,                0.85442,                0.47269,                 1.1307,                0.96429,                0.97914,                0.98536,                0.72753,                 1.0368,                0.40017,                 1.3182,             9.5669e-05,             9.5669e-05,             9.5669e-05
                     75,                0.88097,                0.48529,                 1.1366,                0.96811,                0.98008,                0.98511,                0.72849,                 1.0295,                0.40308,                 1.3123,             9.2253e-05,             9.2253e-05,             9.2253e-05
                     76,                 0.8589,                 0.4801,                 1.1301,                0.96832,                 0.9778,                0.98521,                0.72909,                 1.0269,                0.40228,                 1.3099,             8.8837e-05,             8.8837e-05,             8.8837e-05
